genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
electro house,0.000963,0.851,0.643,130.065,0.328,0.0468,0.131,0.835
electro house,0.00121,0.957,0.619,130.042,0.338,0.108,0.356,0.794
electro house,0.00154,0.935,0.593,128.008,0.143,0.0359,0.0417,0.803
electro house,0.000319,0.95,0.651,127.996,0.286,0.0658,0.318,0.834
electro house,0.0124,0.788,0.648,114.011,0.204,0.0316,0.0846,0.0406
electro house,0.115,0.939,0.386,125.209,0.422,0.491,0.854,0
progressive electro house,0.115,0.939,0.386,125.209,0.422,0.491,0.854,0
electro house,0.000332,0.902,0.542,126.033,0.0631,0.0424,0.123,0.035
progressive electro house,0.000332,0.902,0.542,126.033,0.0631,0.0424,0.123,0.035
electro house,0.00782,0.829,0.643,127.985,0.149,0.0485,0.0983,0
progressive electro house,0.00782,0.829,0.643,127.985,0.149,0.0485,0.0983,0
electro house,0.0292,0.894,0.609,127.918,0.129,0.0953,0.401,0
progressive electro house,0.0292,0.894,0.609,127.918,0.129,0.0953,0.401,0
electro house,0.0161,0.851,0.517,127.976,0.3,0.0828,0.528,6.71e-06
progressive electro house,0.0161,0.851,0.517,127.976,0.3,0.0828,0.528,6.71e-06
electro house,0.000192,0.982,0.633,128,0.213,0.0581,0.201,0.76
progressive electro house,0.000192,0.982,0.633,128,0.213,0.0581,0.201,0.76
electro house,0.00134,0.998,0.6,127.991,0.0866,0.324,0.514,0.344
progressive electro house,0.00134,0.998,0.6,127.991,0.0866,0.324,0.514,0.344
electro house,0.000307,0.965,0.582,127.962,0.286,0.0411,0.342,0.606
progressive electro house,0.000307,0.965,0.582,127.962,0.286,0.0411,0.342,0.606
electro house,0.00947,0.947,0.657,128.007,0.143,0.0439,0.0631,0.0703
progressive electro house,0.00947,0.947,0.657,128.007,0.143,0.0439,0.0631,0.0703
electro house,0.119,0.96,0.572,128.066,0.0931,0.154,0.186,0
progressive electro house,0.119,0.96,0.572,128.066,0.0931,0.154,0.186,0
electro house,0.025,0.994,0.596,127.986,0.218,0.0818,0.235,0.456
progressive electro house,0.025,0.994,0.596,127.986,0.218,0.0818,0.235,0.456
electro house,0.000384,0.988,0.674,127.974,0.212,0.105,0.254,0.0671
progressive electro house,0.000384,0.988,0.674,127.974,0.212,0.105,0.254,0.0671
electro house,0.00251,0.978,0.597,128.01,0.106,0.234,0.286,0.203
progressive electro house,0.00251,0.978,0.597,128.01,0.106,0.234,0.286,0.203
electro house,0.00219,0.977,0.579,128.034,0.137,0.0681,0.333,0.259
progressive electro house,0.00219,0.977,0.579,128.034,0.137,0.0681,0.333,0.259
electro house,0.000355,0.981,0.561,128.024,0.109,0.184,0.368,0.0368
progressive electro house,0.000355,0.981,0.561,128.024,0.109,0.184,0.368,0.0368
electro house,0.00174,0.956,0.536,127.955,0.0737,0.086,0.296,0.0719
progressive electro house,0.00174,0.956,0.536,127.955,0.0737,0.086,0.296,0.0719
electro house,0.0117,0.986,0.603,128.02,0.0392,0.0384,0.22,0.959
progressive electro house,0.0117,0.986,0.603,128.02,0.0392,0.0384,0.22,0.959
progressive electro house,0.319,0.598,0.567,127.988,0.563,0.0503,0.0888,0.00114
progressive electro house,0.0142,0.411,0.817,120.991,0.592,0.0436,0.114,0.463
progressive electro house,0.0104,0.67,0.768,123.987,0.589,0.0362,0.442,0.166
progressive electro house,0.00318,0.784,0.774,125.002,0.412,0.0736,0.061,0.358
progressive electro house,0.0399,0.968,0.379,149.938,0.397,0.14,0.118,0.0157
progressive electro house,0.00548,0.674,0.901,121.031,0.565,0.185,0.571,0.114
progressive electro house,0.0169,0.959,0.695,127.983,0.294,0.072,0.484,0.0523
progressive electro house,0.0027,0.958,0.632,127.965,0.258,0.403,0.694,5.12e-06
progressive electro house,0.0305,0.803,0.771,122.005,0.705,0.0559,0.0231,0.0119
