genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
pop,0.041,0.688,0.569,111.912,0.532,0.0302,0.128,0
synthpop,0.041,0.688,0.569,111.912,0.532,0.0302,0.128,0
metropopolis,0.015,0.642,0.4,132.609,0.26,0.0393,0.0876,0
pop,0.015,0.642,0.4,132.609,0.26,0.0393,0.0876,0
synthpop,0.015,0.642,0.4,132.609,0.26,0.0393,0.0876,0
metropopolis,0.179,0.585,0.679,120.015,0.396,0.0329,0.153,0
pop,0.179,0.585,0.679,120.015,0.396,0.0329,0.153,0
synthpop,0.179,0.585,0.679,120.015,0.396,0.0329,0.153,0
metropopolis,0.219,0.805,0.646,128.03,0.448,0.0403,0.272,0
pop,0.219,0.805,0.646,128.03,0.448,0.0403,0.272,0
synthpop,0.219,0.805,0.646,128.03,0.448,0.0403,0.272,0
metropopolis,0.122,0.792,0.41,194.899,0.763,0.128,0.163,0
pop,0.122,0.792,0.41,194.899,0.763,0.128,0.163,0
synthpop,0.122,0.792,0.41,194.899,0.763,0.128,0.163,0
pop,0.0614,0.869,0.706,95.025,0.748,0.0425,0.0915,0
pop christmas,0.0614,0.869,0.706,95.025,0.748,0.0425,0.0915,0
pop rock,0.0614,0.869,0.706,95.025,0.748,0.0425,0.0915,0
pop,0.0165,0.773,0.737,110.029,0.53,0.0401,0.371,0
pop christmas,0.0165,0.773,0.737,110.029,0.53,0.0401,0.371,0
pop rock,0.0165,0.773,0.737,110.029,0.53,0.0401,0.371,0
pop,0.0474,0.7,0.699,102.02,0.551,0.0288,0.134,0
pop christmas,0.0474,0.7,0.699,102.02,0.551,0.0288,0.134,0
pop rock,0.0474,0.7,0.699,102.02,0.551,0.0288,0.134,0
pop,0.0549,0.809,0.716,92.999,0.622,0.0306,0.0711,0
pop christmas,0.0549,0.809,0.716,92.999,0.622,0.0306,0.0711,0
pop rock,0.0549,0.809,0.716,92.999,0.622,0.0306,0.0711,0
pop,0.0114,0.77,0.717,128.049,0.61,0.0458,0.326,0
pop christmas,0.0114,0.77,0.717,128.049,0.61,0.0458,0.326,0
pop rock,0.0114,0.77,0.717,128.049,0.61,0.0458,0.326,0
pop,0.0122,0.928,0.634,164.094,0.965,0.0591,0.0641,0
pop christmas,0.0122,0.928,0.634,164.094,0.965,0.0591,0.0641,0
pop rock,0.0122,0.928,0.634,164.094,0.965,0.0591,0.0641,0
pop,0.000262,0.805,0.71,102.969,0.724,0.0455,0.213,0
pop christmas,0.000262,0.805,0.71,102.969,0.724,0.0455,0.213,0
pop rock,0.000262,0.805,0.71,102.969,0.724,0.0455,0.213,0
pop,0.0203,0.727,0.742,120.011,0.862,0.0292,0.0838,0
pop christmas,0.0203,0.727,0.742,120.011,0.862,0.0292,0.0838,0
pop rock,0.0203,0.727,0.742,120.011,0.862,0.0292,0.0838,0
pop,0.00548,0.861,0.801,113.996,0.88,0.0357,0.0651,0.000115
pop christmas,0.00548,0.861,0.801,113.996,0.88,0.0357,0.0651,0.000115
pop rock,0.00548,0.861,0.801,113.996,0.88,0.0357,0.0651,0.000115
pop,0.000186,0.743,0.334,95.009,0.31,0.0487,0.579,0
pop christmas,0.000186,0.743,0.334,95.009,0.31,0.0487,0.579,0
pop rock,0.000186,0.743,0.334,95.009,0.31,0.0487,0.579,0
