genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
metal,0.00252,0.947,0.271,128.747,0.389,0.0749,0.119,3.21e-05
metal,0.00383,0.935,0.198,80.875,0.351,0.0968,0.102,8.16e-05
metal,0.000365,0.974,0.181,176.088,0.313,0.163,0.364,3.47e-05
metal,0.00174,0.977,0.231,149.675,0.276,0.11,0.111,3.84e-05
metal,0.00696,0.874,0.311,95.194,0.492,0.0449,0.0861,1.17e-05
metal,0.0242,0.78,0.441,110.18,0.293,0.0418,0.23,6.34e-05
metal,0.0165,0.789,0.249,76.293,0.195,0.0496,0.104,0.00239
industrial metal,0.000159,0.834,0.604,136.978,0.608,0.13,0.0959,0.137
industrial metal,0.2,0.704,0.211,75.026,0.178,0.0395,0.306,0.593
industrial metal,0.000522,0.971,0.615,125.142,0.581,0.0547,0.362,0.109
industrial metal,0.0298,0.731,0.693,95.059,0.641,0.0758,0.122,0.32
industrial metal,0.00469,0.733,0.61,99.748,0.23,0.0286,0.0622,5.18e-05
industrial metal,8.29e-05,0.868,0.585,130.142,0.347,0.0352,0.105,0.053
industrial metal,0.0438,0.656,0.496,116.163,0.0969,0.0357,0.14,0.00149
industrial metal,0.232,0.816,0.586,144.037,0.137,0.0447,0.282,0.744
industrial metal,0.000114,0.902,0.401,176.116,0.369,0.0363,0.298,0.0645
industrial metal,0.00758,0.615,0.402,154.097,0.198,0.0555,0.336,0.017
industrial metal,0.00042,0.852,0.626,139.018,0.335,0.0397,0.104,0.554
industrial metal,0.899,0.316,0.625,140.174,0.317,0.0323,0.0574,0.000132
alternative metal,0.000107,0.905,0.381,142.545,0.408,0.0676,0.211,0.43
nu metal,0.000107,0.905,0.381,142.545,0.408,0.0676,0.211,0.43
rap metal,0.000107,0.905,0.381,142.545,0.408,0.0676,0.211,0.43
alternative metal,0.00284,0.931,0.151,94.087,0.396,0.0901,0.574,0.611
nu metal,0.00284,0.931,0.151,94.087,0.396,0.0901,0.574,0.611
rap metal,0.00284,0.931,0.151,94.087,0.396,0.0901,0.574,0.611
alternative metal,2.62e-06,0.95,0.122,165.863,0.254,0.0946,0.108,0.144
nu metal,2.62e-06,0.95,0.122,165.863,0.254,0.0946,0.108,0.144
rap metal,2.62e-06,0.95,0.122,165.863,0.254,0.0946,0.108,0.144
alternative metal,7.16e-06,0.842,0.413,111.983,0.26,0.0379,0.11,0.123
nu metal,7.16e-06,0.842,0.413,111.983,0.26,0.0379,0.11,0.123
rap metal,7.16e-06,0.842,0.413,111.983,0.26,0.0379,0.11,0.123
alternative metal,0.0228,0.52,0.507,127.03,0.158,0.0355,0.108,0.325
nu metal,0.0228,0.52,0.507,127.03,0.158,0.0355,0.108,0.325
rap metal,0.0228,0.52,0.507,127.03,0.158,0.0355,0.108,0.325
alternative metal,1.96e-05,0.838,0.174,108.122,0.341,0.0417,0.317,0.00627
nu metal,1.96e-05,0.838,0.174,108.122,0.341,0.0417,0.317,0.00627
rap metal,1.96e-05,0.838,0.174,108.122,0.341,0.0417,0.317,0.00627
alternative metal,0.00018,0.895,0.267,142.931,0.162,0.0456,0.441,0.264
nu metal,0.00018,0.895,0.267,142.931,0.162,0.0456,0.441,0.264
rap metal,0.00018,0.895,0.267,142.931,0.162,0.0456,0.441,0.264
alternative metal,0.00116,0.759,0.312,140.069,0.0932,0.0342,0.108,0.791
nu metal,0.00116,0.759,0.312,140.069,0.0932,0.0342,0.108,0.791
rap metal,0.00116,0.759,0.312,140.069,0.0932,0.0342,0.108,0.791
alternative metal,0.000199,0.912,0.332,142.026,0.179,0.0623,0.112,0.314
nu metal,0.000199,0.912,0.332,142.026,0.179,0.0623,0.112,0.314
rap metal,0.000199,0.912,0.332,142.026,0.179,0.0623,0.112,0.314
alternative metal,0.0158,0.654,0.266,47.73,0.281,0.0466,0.11,0.497
nu metal,0.0158,0.654,0.266,47.73,0.281,0.0466,0.11,0.497
rap metal,0.0158,0.654,0.266,47.73,0.281,0.0466,0.11,0.497
alternative metal,9.59e-06,0.865,0.242,148.857,0.299,0.048,0.109,0.851
nu metal,9.59e-06,0.865,0.242,148.857,0.299,0.048,0.109,0.851
rap metal,9.59e-06,0.865,0.242,148.857,0.299,0.048,0.109,0.851
alternative metal,0.000144,0.956,0.578,113.031,0.23,0.0773,0.138,0.0499
funk metal,0.000144,0.956,0.578,113.031,0.23,0.0773,0.138,0.0499
nu metal,0.000144,0.956,0.578,113.031,0.23,0.0773,0.138,0.0499
rap metal,0.000144,0.956,0.578,113.031,0.23,0.0773,0.138,0.0499
alternative metal,0.000232,0.942,0.548,90.077,0.317,0.111,0.226,0.000351
funk metal,0.000232,0.942,0.548,90.077,0.317,0.111,0.226,0.000351
nu metal,0.000232,0.942,0.548,90.077,0.317,0.111,0.226,0.000351
rap metal,0.000232,0.942,0.548,90.077,0.317,0.111,0.226,0.000351
alternative metal,0.000283,0.939,0.595,112.095,0.188,0.101,0.285,0.000239
